Name,Address,City,State,Website,Phone Number,Category,Source
The Hood Technician,"760, 183rd, St, The Bronx, NY, 10460",The Bronx,NY,https://www.google.com/search?q=The Hood Technician,+1 646-407-2449,NYC -  Electronics Repair Stores,Circular NYC.kml
The Electronic Mall of the Bronx Inc,"390, Fordham, Rd, The Bronx, NY, 10458",The Bronx,NY,https://the-electronic-mall-of-the-bronx-inc.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,+1 718-563-8019,NYC -  Electronics Repair Stores,Circular NYC.kml
J.S. ELECTRONICS,"2545, Grand, Concourse, The Bronx, NY, 10468",The Bronx,NY,https://www.google.com/search?q=J.S. ELECTRONICS,+1 718-365-1414,NYC -  Electronics Repair Stores,Circular NYC.kml
Bronx Computer Repair Center,"2544, Valentine, Ave, The Bronx, NY, 10458",The Bronx,NY,http://www.cellphoneunlock.bronxcomputerrepair.com/,+1 646-726-0024,NYC -  Electronics Repair Stores,Circular NYC.kml
ICC Computer Repair,"1165, White Plains, Rd, The Bronx, NY, 10472",The Bronx,NY,https://www.google.com/search?q=ICC Computer Repair,+1 718-409-2661,NYC -  Electronics Repair Stores,Circular NYC.kml
Leo's Autosound and Mobile Electronic,"1141, Whitlock, Ave, The Bronx, NY, 10459",The Bronx,NY,https://www.google.com/search?q=Leo's Autosound and Mobile Electronic,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
RepairRama.com,"4372, White Plains, Rd, The Bronx, NY, 10466",The Bronx,NY,http://www.repairrama.com/,+1 917-207-2264,NYC -  Electronics Repair Stores,Circular NYC.kml
Master #1 Computer Repair,"1021, Garrison, Ave, The Bronx, NY, 10474",The Bronx,NY,https://www.google.com/search?q=Master #1 Computer Repair,+1 347-630-6263,NYC -  Electronics Repair Stores,Circular NYC.kml
Ortizpcnetworks,"2050, Anthony, Ave, The Bronx, NY, 10457",The Bronx,NY,https://www.ortizpcnetwork.com/,+1 347-419-4002,NYC -  Electronics Repair Stores,Circular NYC.kml
FONYE PC Repair & Technical Consultants,"1555, Seabury, Pl, The Bronx, NY, 10460",The Bronx,NY,https://www.google.com/search?q=FONYE PC Repair & Technical Consultants,+1 212-946-6335,NYC -  Electronics Repair Stores,Circular NYC.kml
Angels-Link,"1516, Beach, Ave, The Bronx, NY, 10460",The Bronx,NY,https://www.google.com/search?q=Angels-Link,+1 718-792-0853,NYC -  Electronics Repair Stores,Circular NYC.kml
Resto's Computer Repair,"1982, Marmion, Ave, The Bronx, NY, 10460",The Bronx,NY,https://www.google.com/search?q=Resto's Computer Repair,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
LUZ'S PC REPAIRS,"575, Castle Hill, Ave, The Bronx, NY, 10473",The Bronx,NY,https://www.google.com/search?q=LUZ'S PC REPAIRS,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Square Wireless Repair Bronx,"78, Westchester, Square, The Bronx, NY, 10461",The Bronx,NY,https://squarewireless.wixsite.com/website,+1 929-777-9130,NYC -  Electronics Repair Stores,Circular NYC.kml
Sanderson Digital Electronic S,"848, 214th, St, The Bronx, NY, 10467",The Bronx,NY,http://www.sandersondes.com/about-us,+1 718-405-7286,NYC -  Electronics Repair Stores,Circular NYC.kml
"Laptop, Computers And Cell Phone Games Solutions Center","1219, Castle Hill, Ave, The Bronx, NY, 10462",The Bronx,NY,"https://www.google.com/search?q=Laptop, Computers And Cell Phone Games Solutions Center",+1 646-464-1554,NYC -  Electronics Repair Stores,Circular NYC.kml
"Biz Wiz Tech Computer,Laptop & iPhone Repair","837, Intervale, Ave, The Bronx, NY, 10459",The Bronx,NY,http://bizwiztechrepair.com/,+1 917-535-7456,NYC -  Electronics Repair Stores,Circular NYC.kml
123 Buy Sell And Trade,"2883, 3rd, Ave., The Bronx, NY, 10455",The Bronx,NY,https://1stoptoshop3inc.business.site/,+1 347-862-3285,NYC -  Electronics Repair Stores,Circular NYC.kml
Nexxwireless,"1913, White Plains, Rd, The Bronx, NY, 10462",The Bronx,NY,http://www.nexxwireless.com/about-us/,+1 718-239-0002 ext. 4,NYC -  Electronics Repair Stores,Circular NYC.kml
Joel Computer,"175, Field, Pl, The Bronx, NY, 10468",The Bronx,NY,https://www.google.com/search?q=Joel Computer,+1 718-584-5750,NYC -  Electronics Repair Stores,Circular NYC.kml
Polo Advance Computer Repair,"135, Kingsbridge, Rd, The Bronx, NY, 10468",The Bronx,NY,https://www.google.com/search?q=Polo Advance Computer Repair,+1 917-470-1067,NYC -  Electronics Repair Stores,Circular NYC.kml
Orion Electronics NYC,"904, Morris, Ave, The Bronx, NY, 10451",The Bronx,NY,http://orionelectronicnyc.com/,+1 347-847-0444,NYC -  Electronics Repair Stores,Circular NYC.kml
CompuSmart Services Corporation,"2935, Wilkinson, Ave, The Bronx, NY, 10461",The Bronx,NY,https://www.google.com/search?q=CompuSmart Services Corporation,+1 718-597-8500,NYC -  Electronics Repair Stores,Circular NYC.kml
Parkchester Wireless and electronics,"1231, White Plains, Rd, The Bronx, NY, 10472",The Bronx,NY,http://www.facebook.com/PARKCHESTERWIRELESS,+1 347-280-5128,NYC -  Electronics Repair Stores,Circular NYC.kml
JT Cellular Services,"1132, Castle Hill, Ave, The Bronx, NY, 10462",The Bronx,NY,https://www.google.com/search?q=JT Cellular Services,+1 929-284-9549,NYC -  Electronics Repair Stores,Circular NYC.kml
Tech Daddy Wireless,"716, Morris Park, Ave, The Bronx, NY, 10462",The Bronx,NY,http://www.techdaddynyc.com/,+1 718-684-2751,NYC -  Electronics Repair Stores,Circular NYC.kml
Paradise Electronics,"1570, Westchester, Ave, The Bronx, NY, 10472",The Bronx,NY,https://www.google.com/search?q=Paradise Electronics,+1 347-590-8004,NYC -  Electronics Repair Stores,Circular NYC.kml
The Crazy PC / Bronx Computer Repair / Laptop,"3015, Middletown, Rd, The Bronx, NY, 10461",The Bronx,NY,https://www.thecrazypc.com/,+1 347-621-0731,NYC -  Electronics Repair Stores,Circular NYC.kml
20/20 Wireless,"1118, Southern, Blvd, The Bronx, NY, 10459",The Bronx,NY,https://www.google.com/search?q=20/20 Wireless,+1 718-450-3460,NYC -  Electronics Repair Stores,Circular NYC.kml
Darkmonte LLC dba Repair Red,"1200, Waters, Pl, The Bronx, NY, 10461",The Bronx,NY,https://www.google.com/search?q=Darkmonte LLC dba Repair Red,+1 718-489-9660,NYC -  Electronics Repair Stores,Circular NYC.kml
Ytech phones & computer repair,"1801, White Plains, Rd, The Bronx, NY, 10462",The Bronx,NY,https://www.google.com/search?q=Ytech phones & computer repair,+1 347-691-3368,NYC -  Electronics Repair Stores,Circular NYC.kml
First Choice Appliance Repair Bronx,"633, St Ann's, Ave, The Bronx, NY, 10455",The Bronx,NY,http://first-choice-appliance-repair-bronx.business.site/,+1 718-766-8151,NYC -  Electronics Repair Stores,Circular NYC.kml
Cybermania,"1558, Stillwell, Ave, The Bronx, NY, 10461",The Bronx,NY,http://www.cyber-mania.net/,+1 718-409-4736,NYC -  Electronics Repair Stores,Circular NYC.kml
AAA Electronic Services Inc,"218-10, Hillside, Avenue, Queens, NY, 11427",Queens,NY,https://3aservices.net/,+1 718-526-4848,NYC -  Electronics Repair Stores,Circular NYC.kml
PhonePartsRUs,"967, Morris Park, Ave, The Bronx, NY, 10462",The Bronx,NY,https://phonepartsrus.com/,+1 718-828-8878,NYC -  Electronics Repair Stores,Circular NYC.kml
In house Computer Repair 49.99,"3259, White Plains, Rd, The Bronx, NY, 10467",The Bronx,NY,http://jcompatible.com/,+1 347-995-5819,NYC -  Electronics Repair Stores,Circular NYC.kml
Gpz Computer Solution,"121, 184th, St, The Bronx, NY, 10468",The Bronx,NY,https://www.google.com/search?q=Gpz Computer Solution,+1 347-591-3737,NYC -  Electronics Repair Stores,Circular NYC.kml
EMCM Solutionc Inc,"2122B, Westchester, Ave, The Bronx, NY, 10462",The Bronx,NY,https://www.google.com/search?q=EMCM Solutionc Inc,+1 646-396-1495,NYC -  Electronics Repair Stores,Circular NYC.kml
Izzy's IRepair,"1215, Grand, Concourse, The Bronx, NY, 10452",The Bronx,NY,http://izzys-irepair.business.site/,+1 718-708-5588,NYC -  Electronics Repair Stores,Circular NYC.kml
B4Computers,"922, Tremont, Ave, The Bronx, NY, 10460",The Bronx,NY,http://b4computers.com/,+1 646-652-6591,NYC -  Electronics Repair Stores,Circular NYC.kml
Unavi NY - Audiomaxx,"528, Fordham, Rd, The Bronx, NY, 10458",The Bronx,NY,https://unavi-usa.com/pages/unavi-new-york-pro-shop-bronx,+1 714-258-0400,NYC -  Electronics Repair Stores,Circular NYC.kml
MD Broadway Electronics,"MD Broadway Electronics, The Bronx, NY, 10453",Bronx,NY,https://www.google.com/search?q=MD Broadway Electronics,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Kings Mobile Inc,"65, Kingsbridge, Rd, The Bronx, NY, 10468",The Bronx,NY,https://www.google.com/search?q=Kings Mobile Inc,+1 929-263-1616,NYC -  Electronics Repair Stores,Circular NYC.kml
Technical Freelance,"1182, Washington, Ave, The Bronx, NY, 10456",The Bronx,NY,https://www.google.com/search?q=Technical Freelance,+1 347-340-6242,NYC -  Electronics Repair Stores,Circular NYC.kml
Virus Removal Service 59.99,"1197, Bryant, Ave, The Bronx, NY, 10459",The Bronx,NY,https://www.google.com/search?q=Virus Removal Service 59.99,+1 347-995-5819,NYC -  Electronics Repair Stores,Circular NYC.kml
Major Sounds Electronics Inc,"719, Tremont, Ave, The Bronx, NY, 10457",The Bronx,NY,https://www.google.com/search?q=Major Sounds Electronics Inc,+1 917-471-9494,NYC -  Electronics Repair Stores,Circular NYC.kml
East Bronx Appliance Repair,"2459, Tremont, Ave, The Bronx, NY, 10461",The Bronx,NY,https://east-bronx-appliance-repair.business.site/,+1 718-285-0946,NYC -  Electronics Repair Stores,Circular NYC.kml
NY Wireless,"824, 149th, St, The Bronx, NY, 10455",The Bronx,NY,https://www.google.com/search?q=NY Wireless,+1 347-269-7627,NYC -  Electronics Repair Stores,Circular NYC.kml
Schuylerville Appliance Repair,"2699, Lafayette, Ave, The Bronx, NY, 10465",The Bronx,NY,https://schuylerville-appliance-repair.business.site/,+1 718-285-0856,NYC -  Electronics Repair Stores,Circular NYC.kml
Sears Appliance Repair,"300, Baychester, Ave, The Bronx, NY, 10475",The Bronx,NY,https://www.searshomeservices.com/locations/appliance-repair/ny-bronx/300-baychester-ave,+1 347-759-0433,NYC -  Electronics Repair Stores,Circular NYC.kml
B4Computers,"1807, Westchester, Ave, The Bronx, NY, 10472",The Bronx,NY,http://www.b4computers.com/,+1 646-652-6591,NYC -  Electronics Repair Stores,Circular NYC.kml
L & L Home Appliance Repairs,"2951, Middletown, Rd, The Bronx, NY, 10461",The Bronx,NY,https://www.appliancerepairbronx.com/,+1 718-792-2655,NYC -  Electronics Repair Stores,Circular NYC.kml
Management Appliance Air Conditioning,"2715, Wallace, Ave, The Bronx, NY, 10467",The Bronx,NY,http://www.managementappliances.com/contact-us.html,+1 212-535-5031,NYC -  Electronics Repair Stores,Circular NYC.kml
Bronx Appliance Repair Specialists,"3488, Boston, Rd, The Bronx, NY, 10469",The Bronx,NY,https://bronx-appliance-repair-specialists.business.site/,+1 718-766-8412,NYC -  Electronics Repair Stores,Circular NYC.kml
"Gold Refrigeration & Air Conditioning, Inc.","3058, Gunther, Ave, The Bronx, NY, 10469",The Bronx,NY,"https://www.google.com/search?q=Gold Refrigeration & Air Conditioning, Inc.",+1 347-463-2476,NYC -  Electronics Repair Stores,Circular NYC.kml
P.C. Richard & Son,"2501, Grand, Concourse, The Bronx, NY, 10468",The Bronx,NY,https://www.pcrichard.com/stores/new-york/bronx/e.-fordham-road.html%3Futm_source%3DGoogle-My-Business%26utm_medium%3Dorganic%26utm_campaign%3DGoogle-My-Business,+1 718-933-6000,NYC -  Electronics Repair Stores,Circular NYC.kml
Allerton Appliance Repair Masters,"2565, Boston, Rd, The Bronx, NY, 10467",The Bronx,NY,https://www.google.com/search?q=Allerton Appliance Repair Masters,+1 718-285-6257,NYC -  Electronics Repair Stores,Circular NYC.kml
Jayso Electronics Corporation,"3210, White Plains, Rd, The Bronx, NY, 10467",The Bronx,NY,http://www.jayso.com/,+1 718-798-1050,NYC -  Electronics Repair Stores,Circular NYC.kml
"EZ-Connect, Inc.","2039, Blackrock, Ave, The Bronx, NY, 10472",The Bronx,NY,"https://www.google.com/search?q=EZ-Connect, Inc.",+1 646-260-5656,NYC -  Electronics Repair Stores,Circular NYC.kml
Sears Appliance Repair,"1998, Bruckner, Blvd, The Bronx, NY, 10473",The Bronx,NY,https://www.searshomeservices.com/locations/appliance-repair/ny-bronx/1998-bruckner-blvd%3Futm_source%3DGMBlisting%26utm_medium%3Dorganic%26utm_campaign%3DGMBinhomerepair,+1 347-759-0434,NYC -  Electronics Repair Stores,Circular NYC.kml
Hi-Tech Electronic Service Center,"47, Canal, St, New York, NY, 10002",New York,NY,http://www.newhitech.net/,+1 212-219-3794,NYC -  Electronics Repair Stores,Circular NYC.kml
IcyHot Mechanical Cooling Inc,"2157, Wallace, Ave, The Bronx, NY, 10462",The Bronx,NY,https://www.google.com/search?q=IcyHot Mechanical Cooling Inc,+1 347-797-9553,NYC -  Electronics Repair Stores,Circular NYC.kml
A To Z Auto Sound,"2000, White Plains, Rd, The Bronx, NY, 10462",The Bronx,NY,https://www.google.com/search?q=A To Z Auto Sound,+1 718-676-9447,NYC -  Electronics Repair Stores,Circular NYC.kml
Anthony's Repair Mania,"387 E Fordham Rd 2nd Floor Suite 3, The Bronx, NY 10458, United States",,,https://anthonys-repair-mania-inc.business.site/,+1 347-271-5810,NYC -  Electronics Repair Stores,Circular NYC.kml
CITY REPAIR WIRELESS,"42, Gramatan, Ave, Mt Vernon, NY, 10550",Mt Vernon,NY,https://city-wireless-electronics.business.site/,+1 914-371-7516,NYC -  Electronics Repair Stores,Circular NYC.kml
West Farms Appliance Repair,"849, 180th, St, The Bronx, NY, 10460",The Bronx,NY,https://west-farms-appliance-repair.business.site/,+1 718-285-0964,NYC -  Electronics Repair Stores,Circular NYC.kml
A Reason Why Enterprises,"Marmion, Ave, The Bronx, NY, 10460",The Bronx,NY,https://www.google.com/search?q=A Reason Why Enterprises,+1 718-924-5816,NYC -  Electronics Repair Stores,Circular NYC.kml
Gun Hill Wireless & Electronics,"1349, Gun Hill, Rd, The Bronx, NY, 10469",The Bronx,NY,https://www.google.com/search?q=Gun Hill Wireless & Electronics,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
Repair Washer Appliance,"1538, Webster, Ave, The Bronx, NY, 10457",The Bronx,NY,https://www.google.com/search?q=Repair Washer Appliance,Not Available,NYC -  Electronics Repair Stores,Circular NYC.kml
MK Technologies Automobile Services,"1712, Jerome, Ave, The Bronx, NY, 10453",The Bronx,NY,https://mktechnyc.com/,+1 347-431-4477,NYC -  Electronics Repair Stores,Circular NYC.kml
24hr pawn shop,"554, Southern, Blvd, The Bronx, NY, 10455",The Bronx,NY,http://www.24hrpawnstore.com/,+1 347-474-8980,NYC -  Electronics Repair Stores,Circular NYC.kml
Technology Auto Sound,"2512, Boston, Rd, The Bronx, NY, 10467",The Bronx,NY,https://www.google.com/search?q=Technology Auto Sound,+1 347-899-8999,NYC -  Electronics Repair Stores,Circular NYC.kml
Shepherd ENG Heating Cooling & Refrigeration Inc,"4230, Bruner, Ave, The Bronx, NY, 10466",The Bronx,NY,http://www.shepherdehc.com/,+1 929-383-9139,NYC -  Electronics Repair Stores,Circular NYC.kml
Bronen's Music,"2462, Webster, Ave, The Bronx, NY, 10458",The Bronx,NY,http://musicalinstrumentrepairsbronx.com/,+1 718-364-3350,NYC -  Electronics Repair Stores,Circular NYC.kml
Geek Squad,"555, Sandford, Blvd, Mt Vernon, NY, 10550",Mt Vernon,NY,https://stores.bestbuy.com/ny/mount-vernon/555-e-sandford-blvd-471/geeksquad.html%3Fref%3DNS%26loc%3Dns100,+1 914-664-4425,NYC -  Electronics Repair Stores,Circular NYC.kml
Third Avenue Auto Sound,"4615, 3rd, Ave., The Bronx, NY, 10458",The Bronx,NY,https://www.google.com/search?q=Third Avenue Auto Sound,+1 347-963-4360,NYC -  Electronics Repair Stores,Circular NYC.kml
Imperial Wireless Wholesale,"1597, Westchester, Ave, The Bronx, NY, 10472",The Bronx,NY,https://imperialwirelesswholesale.com/,+1 718-618-7901,NYC -  Electronics Repair Stores,Circular NYC.kml
Nyteck Systems Inc,"3675, Bronxwood, Ave, The Bronx, NY, 10469",The Bronx,NY,http://www.nyteck.com/,+1 718-882-0335,NYC -  Electronics Repair Stores,Circular NYC.kml
POWER AUDIO & SECURITY SYSTEM INC,"2193, Jerome, Ave, The Bronx, NY, 10453",The Bronx,NY,https://www.google.com/search?q=POWER AUDIO & SECURITY SYSTEM INC,+1 646-402-0043,NYC -  Electronics Repair Stores,Circular NYC.kml
